عنوان,1402,1401,1400,1399,1398,1397,1396,1395
درآمدهای عملياتی,61847726,53579357,52556684,27555094,11950960,8810807,"2,927,796","4,645,793"
بهاى تمام شده درآمدهای عملياتی,-43570676,-44752173,-44633032,-15145422,-9470078,-6687553,-2633886.00,-4233937.00
سود(زيان) ناخالص,18277050,8827184,7923652,12409672,2480882,2123254,,
هزينه‏ هاى فروش، ادارى و عمومى,-1238119,-796349,-562195,-343405,-229769,-157107,,
ساير درآمدها,798320,1485927,667205,355519,126043,97414,,
ساير هزينه‌ها,-306435,-171005,-109215,-104687,-81885,-67639,,
سود(زيان) عملياتى,17530816,9345757,7919447,12317099,2295271,1995922,,
هزينه‏ هاى مالى,-1047030,-761008,-315604,-142285,-150694,-54641,,
ساير درآمدها و هزينه ‏هاى غيرعملياتى,1538447,606147,868187,476513,48968,95275,,
سود(زيان) عمليات در حال تداوم قبل از ماليات,18022233,9190896,9160248,12739451,2205922,2039048,,
سال جاری,-1404842,-146462,-958428,-1074611,-357725,-286481,,
سال‌های قبل,-268277,-496661,0,-23670,-36715,18973,,
سود(زيان) خالص عمليات در حال تداوم,16349114,8547773,8201820,11641170,1811482,1771540,,
سود(زيان) خالص,16349114,8547773,8201820,11641170,1811482,1771540,,
عملياتی (ريال),1792,1009,3701,13069,2185,2001,,
غيرعملياتی (ريال),105,-18,623,499,-74,64,,
ناشی از عمليات در حال تداوم,1897,991,4324,13568,2111,2065,,
ناشی از عمليات متوقف شده,0,0,0,0,2111,2065,,
سود(زيان) پايه هر سهم,1897,991,4324,13568,4222,4130,,
سود (زيان) خالص هر سهم – ريال,1090,1011,3337,13568,2111,2065,,
سرمايه,15000000,8458000,2458000,858000,858000,858000,,
دارايی های ثابت مشهود,4479087,2103792,1319358,687630,563514,476149,,
دارايی های نامشهود,262006,186847,101103,79798,26014,18163,,
سرمايه‌گذاری های بلندمدت,289634,2007782,5853,3852,1233,92,,
دريافتنی های بلندمدت,78400,60215,39049,25639,13463,8775,,
ساير دارايی ها,125000,125000,125000,125000,57,34,,
جمع دارايی های غيرجاری,5234127,4483636,1590363,921919,604281,503213,,
سفارشات و پيش‌پرداخت‌ها,2642862,894720,2029291,1120326,1121437,342782,,
موجودی مواد و کالا,18393685,10345540,18802449,5631045,2798658,2454980,,
دريافتنی های تجاری و ساير دريافتنی ها,16153897,13468915,9774453,780687,831613,296366,,
سرمايه‌گذاری های کوتاه‌مدت ,4567623,1367621,9561,9006536,5042,774254,,
موجودی نقد,2935207,4736393,1701931,3389626,1575015,875474,,
دارايی های نگهداری شده برای فروش,0,29512,29512,77624,0,0,,
جمع دارايی های جاری,44693274,30842701,32347197,20005844,6331765,4743856,,
جمع دارایی ها,49927401,35326337,33937560,20927763,6936046,5247069,,
سرمايه,15000000,8458000,2458000,858000,858000,858000,,
افزايش سرمايه در جريان,0,0,0,0,0,0,,
صرف سهام,0,0,0,0,0,0,,
صرف سهام خزانه,0,0,0,0,0,0,,
اندوخته قانونی,1490645,673189,245800,85800,85800,85800,,
ساير اندوخته‌ها,0,0,0,0,0,0,,
مازاد تجديدارزيابی دارايی ها,0,0,0,0,0,0,,
تفاوت تسعير ارز عمليات خارجی,0,0,0,0,0,0,,
سود(زيان) انباشته,19092661,14754903,15829919,13249099,2980729,2027247,,
سهام خزانه,0,0,0,0,0,0,,
جمع حقوق مالکانه,35583306,23886092,18533719,14192899,3924529,2971047,,
پرداختنی های بلندمدت,0,0,0,0,0,0,,
تسهيلات مالی بلندمدت,0,0,0,0,0,0,,
ذخيره مزايای پايان خدمت کارکنان,429190,246598,139881,84151,47796,25428,,
جمع بدهی های غيرجاری,429190,246598,139881,84151,47796,25428,,
پرداختنی های تجاری و ساير پرداختنی ها,3786355,4359826,9884336,1684659,186177,1506251,,
ماليات پرداختنی,1204842,164693,758428,1099637,286434,256481,,
سود سهام پرداختنی,97940,2944191,3787033,1276897,462976,1933,,
تسهيلات مالی,8357621,2454928,0,0,535564,0,,
ذخاير,0,0,0,0,0,0,,
پيش‌دريافت‌ها,468147,1270009,834163,2589520,1492570,485929,,
بدهی های ‌مرتبط ‌با دارايی های نگهداری شده برای ‌فروش,0,0,0,0,0,0,,
جمع بدهی های جاری,13914905,11193647,15263960,6650713,2963721,2250594,,
جمع بدهی ها,14344095,11440245,15403841,6734864,3011517,2276022,,
جمع حقوق مالکانه و بدهی ها,49927401,35326337,33937560,20927763,6936046,5247069,,
استهلاک,,,,,,,,